,GROUP_SET,TEAM_ID,TEAM_NAME,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
139,Overall,1610612754,Indiana Pacers,2015-16,82,45,37,0.549,3976.0,3142,6985,0.45,663,1889,0.351,1430,1872,0.764,847,2779,3626,1741,1219.0,742,391,366,1641,1676,8377,140.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,Overall,1610612754,Indiana Pacers,2016-17,82,42,40,0.512,3971.0,3221,6931,0.465,709,1885,0.376,1467,1811,0.81,742,2702,3444,1844,1130.0,669,409,407,1597,1599,8618,-18.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,Overall,1610612754,Indiana Pacers,2017-18,82,48,34,0.585,3951.0,3345,7083,0.472,741,2010,0.369,1225,1573,0.779,788,2684,3472,1819,1088.0,721,340,428,1544,1514,8656,113.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,Overall,1610612754,Indiana Pacers,2018-19,82,48,34,0.585,3941.0,3390,7135,0.475,779,2081,0.374,1298,1727,0.752,762,2766,3528,2128,1122.0,713,404,425,1594,1642,8857,273.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,Overall,1610612754,Indiana Pacers,2019-20,65,39,26,0.6,3140.0,2740,5744,0.477,648,1787,0.363,979,1244,0.787,573,2211,2784,1686,853.0,470,334,291,1274,1211,7107,126.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,Overall,1610612755,Philadelphia 76ers,2012-13,82,34,48,0.415,3951.0,3059,6895,0.444,518,1438,0.36,1004,1377,0.729,896,2493,3389,1867,1070.0,609,384,396,1505,1331,7640,-274.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,Overall,1610612755,Philadelphia 76ers,2013-14,82,19,63,0.232,3970.985,3108,7150,0.435,577,1847,0.312,1362,1918,0.71,949,2556,3505,1791,1384.0,765,330,558,1844,1686,8155,-857.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,Overall,1610612755,Philadelphia 76ers,2014-15,82,18,64,0.22,3961.0,2765,6777,0.408,692,2160,0.32,1320,1953,0.676,978,2536,3514,1683,1453.0,789,487,454,1778,1657,7542,-736.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,Overall,1610612755,Philadelphia 76ers,2015-16,82,10,72,0.122,3961.0,2970,6887,0.431,764,2255,0.339,1284,1850,0.694,777,2605,3382,1765,1343.0,680,495,466,1780,1571,7988,-839.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,Overall,1610612755,Philadelphia 76ers,2016-17,82,28,54,0.341,3966.0,3088,6992,0.442,831,2443,0.34,1393,1806,0.771,807,2706,3513,1949,1366.0,692,420,446,1793,1610,8400,-467.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,Overall,1610612755,Philadelphia 76ers,2017-18,82,52,30,0.634,3956.0,3349,7098,0.472,901,2445,0.369,1405,1868,0.752,893,2996,3889,2221,1353.0,682,420,417,1811,1670,9004,369.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,Overall,1610612755,Philadelphia 76ers,2018-19,82,51,31,0.622,3961.0,3407,7233,0.471,889,2474,0.359,1742,2258,0.771,892,3025,3917,2207,1223.0,606,432,336,1745,1816,9445,221.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,Overall,1610612755,Philadelphia 76ers,2019-20,65,39,26,0.6,3135.0,2651,5701,0.465,742,2052,0.362,1079,1435,0.752,673,2282,2955,1682,923.0,531,349,251,1342,1320,7123,144.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,Overall,1610612756,Phoenix Suns,2012-13,82,25,57,0.305,3961.0,3061,6917,0.443,480,1455,0.33,1203,1618,0.744,959,2454,3413,1855,1278.0,659,434,421,1688,1511,7805,-530.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,Overall,1610612756,Phoenix Suns,2013-14,82,48,34,0.585,3951.0,3172,6845,0.463,765,2055,0.372,1520,2004,0.758,928,2601,3529,1563,1258.0,688,374,332,1798,1749,8629,216.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154,Overall,1610612756,Phoenix Suns,2014-15,82,39,43,0.476,3976.0,3178,7038,0.452,698,2048,0.341,1343,1767,0.76,896,2643,3539,1659,1238.0,700,385,337,1744,1664,8397,-74.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,Overall,1610612756,Phoenix Suns,2015-16,82,23,59,0.28,3941.0,3051,7018,0.435,738,2118,0.348,1431,1905,0.751,943,2733,3676,1701,1410.0,632,313,449,1858,1770,8271,-546.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
