,TEAM,SEASON,PLAYERS
64,1610612745,2012-13,"['Aaron Brooks', 'Carlos Delfino', 'Chandler Parsons', 'Cole Aldrich', 'Daequan Cook', 'Donatas Motiejunas', 'Francisco Garcia', 'Greg Smith', 'James Anderson', 'James Harden', 'Jeremy Lin', 'Marcus Morris Sr.', 'Omer Asik', 'Patrick Beverley', 'Patrick Patterson', 'Scott Machado', 'Terrence Jones', 'Thomas Robinson', 'Tim Ohlbrecht', 'Toney Douglas']"
65,1610612745,2013-14,"['Aaron Brooks', 'Chandler Parsons', 'Donatas Motiejunas', 'Dwight Howard', 'Francisco Garcia', 'Greg Smith', 'Isaiah Canaan', 'James Harden', 'Jeremy Lin', 'Jordan Hamilton', 'Josh Powell', 'Omer Asik', 'Omri Casspi', 'Patrick Beverley', 'Robert Covington', 'Ronnie Brewer', 'Terrence Jones', 'Troy Daniels']"
66,1610612745,2014-15,"['Alexey Shved', 'Clint Capela', 'Corey Brewer', 'Donatas Motiejunas', 'Dwight Howard', 'Francisco Garcia', 'Isaiah Canaan', 'James Harden', 'Jason Terry', 'Joey Dorsey', 'Josh Smith', 'KJ McDaniels', 'Kostas Papanikolaou', 'Nick Johnson', 'Pablo Prigioni', 'Patrick Beverley', 'Tarik Black', 'Terrence Jones', 'Trevor Ariza', 'Troy Daniels']"
67,1610612745,2015-16,"['Andrew Goudelock', 'Chuck Hayes', 'Clint Capela', 'Corey Brewer', 'Donatas Motiejunas', 'Dwight Howard', 'James Harden', 'Jason Terry', 'Josh Smith', 'KJ McDaniels', 'Marcus Thornton', 'Michael Beasley', 'Montrezl Harrell', 'Patrick Beverley', 'Sam Dekker', 'Terrence Jones', 'Trevor Ariza', 'Ty Lawson']"
68,1610612745,2016-17,"['Bobby Brown', 'Chinanu Onuaku', 'Clint Capela', 'Corey Brewer', 'Eric Gordon', 'Isaiah Taylor', 'James Harden', 'KJ McDaniels', 'Kyle Wiltjer', 'Lou Williams', 'Montrezl Harrell', 'Nene', 'Patrick Beverley', 'Ryan Anderson', 'Sam Dekker', 'Trevor Ariza', 'Troy Williams', 'Tyler Ennis']"
69,1610612745,2017-18,"['Aaron Jackson', 'Bobby Brown', 'Brandan Wright', 'Briante Weber', 'Chinanu Onuaku', 'Chris Paul', 'Clint Capela', 'Demetrius Jackson', 'Eric Gordon', 'Gerald Green', 'Isaiah Canaan', 'James Harden', 'Joe Johnson', 'Luc Mbah a Moute', 'Markel Brown', 'Nene', 'P.J. Tucker', 'RJ Hunter', 'Ryan Anderson', 'Tarik Black', 'Tim Quarterman', 'Trevor Ariza', 'Troy Williams', 'Zhou Qi']"
70,1610612745,2018-19,"['Austin Rivers', 'Brandon Knight', 'Carmelo Anthony', 'Chris Chiozza', 'Chris Paul', 'Clint Capela', 'Danuel House Jr.', 'Eric Gordon', 'Gary Clark', 'Gerald Green', 'Iman Shumpert', 'Isaiah Hartenstein', 'James Ennis III', 'James Harden', 'James Nunnally', 'Kenneth Faried', 'Marquese Chriss', 'Michael Carter-Williams', 'Nene', 'P.J. Tucker', 'Terrence Jones', 'Vincent Edwards', 'Zhou Qi']"
71,1610612745,2019-20,"['Austin Rivers', 'Ben McLemore', 'Bruno Caboclo', 'Chris Clemons', 'Clint Capela', 'Danuel House Jr.', 'DeMarre Carroll', 'Eric Gordon', 'Gary Clark', 'Isaiah Hartenstein', 'James Harden', 'Jeff Green', 'Michael Frazier', 'P.J. Tucker', 'Robert Covington', 'Russell Westbrook', 'Ryan Anderson', 'Thabo Sefolosha', 'Tyson Chandler', 'William Howard']"
72,1610612746,2012-13,"['Blake Griffin', 'Caron Butler', 'Chauncey Billups', 'Chris Paul', 'DaJuan Summers', 'DeAndre Jordan', 'Eric Bledsoe', 'Grant Hill', 'Jamal Crawford', 'Lamar Odom', 'Maalik Wayns', 'Matt Barnes', 'Ronny Turiaf', 'Ryan Hollins', 'Willie Green']"
73,1610612746,2013-14,"['Antawn Jamison', 'Blake Griffin', 'Byron Mullens', 'Chris Paul', 'Danny Granger', 'Darius Morris', 'Darren Collison', 'DeAndre Jordan', 'Glen Davis', 'Hedo Turkoglu', 'JJ Redick', 'Jamal Crawford', 'Jared Dudley', 'Maalik Wayns', 'Matt Barnes', 'Reggie Bullock', 'Ryan Hollins', 'Sasha Vujacic', 'Stephen Jackson', 'Willie Green']"
74,1610612746,2014-15,"['Austin Rivers', 'Blake Griffin', 'C.J. Wilcox', 'Chris Douglas-Roberts', 'Chris Paul', 'Dahntay Jones', 'DeAndre Jordan', 'Ekpe Udoh', 'Glen Davis', 'Hedo Turkoglu', 'JJ Redick', 'Jamal Crawford', 'Jared Cunningham', 'Jordan Farmar', 'Jordan Hamilton', 'Lester Hudson', 'Matt Barnes', 'Nate Robinson', 'Reggie Bullock', 'Spencer Hawes']"
75,1610612746,2015-16,"['Alex Stepheson', 'Austin Rivers', 'Blake Griffin', 'Branden Dawson', 'C.J. Wilcox', 'Chris Paul', 'Cole Aldrich', 'DeAndre Jordan', 'JJ Redick', 'Jamal Crawford', 'Jeff Ayres', 'Jeff Green', 'Josh Smith', 'Lance Stephenson', 'Luc Mbah a Moute', 'Pablo Prigioni', 'Paul Pierce', 'Wesley Johnson']"
76,1610612746,2016-17,"['Alan Anderson', 'Austin Rivers', 'Blake Griffin', 'Brandon Bass', 'Brice Johnson', 'Chris Paul', 'DeAndre Jordan', 'Diamond Stone', 'JJ Redick', 'Jamal Crawford', 'Luc Mbah a Moute', 'Marreese Speights', 'Paul Pierce', 'Raymond Felton', 'Wesley Johnson']"
77,1610612746,2017-18,"['Austin Rivers', 'Avery Bradley', 'Blake Griffin', 'Boban Marjanovic', 'Brice Johnson', 'C.J. Williams', 'Danilo Gallinari', 'DeAndre Jordan', 'Jamil Wilson', 'Jawun Evans', 'Lou Williams', 'Milos Teodosic', 'Montrezl Harrell', 'Patrick Beverley', 'Sam Dekker', 'Sean Kilpatrick', 'Sindarius Thornwell', 'Tobias Harris', 'Tyrone Wallace', 'Wesley Johnson', 'Willie Reed']"
78,1610612746,2018-19,"['Angel Delgado', 'Avery Bradley', 'Boban Marjanovic', 'Danilo Gallinari', 'Garrett Temple', 'Ivica Zubac', 'JaMychal Green', 'Jerome Robinson', 'Johnathan Motley', 'Landry Shamet', 'Lou Williams', 'Luc Mbah a Moute', 'Marcin Gortat', 'Mike Scott', 'Milos Teodosic', 'Montrezl Harrell', 'Patrick Beverley', 'Shai Gilgeous-Alexander', 'Sindarius Thornwell', 'Tobias Harris', 'Tyrone Wallace', 'Wilson Chandler']"
79,1610612746,2019-20,"['Amir Coffey', 'Derrick Walton Jr.', 'Ivica Zubac', 'JaMychal Green', 'Jerome Robinson', 'Johnathan Motley', 'Kawhi Leonard', 'Landry Shamet', 'Lou Williams', 'Marcus Morris Sr.', 'Maurice Harkless', 'Mfiondu Kabengele', 'Montrezl Harrell', 'Patrick Beverley', 'Patrick Patterson', 'Paul George', 'Reggie Jackson', 'Rodney McGruder', 'Terance Mann']"
80,1610612747,2012-13,"['Andrew Goudelock', 'Antawn Jamison', 'Chris Duhon', 'Darius Johnson-Odom', 'Darius Morris', 'Devin Ebanks', 'Dwight Howard', 'Earl Clark', 'Jodie Meeks', 'Jordan Hill', 'Kobe Bryant', 'Metta World Peace', 'Pau Gasol', 'Robert Sacre', 'Steve Blake', 'Steve Nash']"
81,1610612747,2013-14,"['Chris Kaman', 'Elias Harris', 'Jodie Meeks', 'Jordan Farmar', 'Jordan Hill', 'Kendall Marshall', 'Kent Bazemore', 'Kobe Bryant', 'Manny Harris', 'MarShon Brooks', 'Nick Young', 'Pau Gasol', 'Robert Sacre', 'Ryan Kelly', 'Shawne Williams', 'Steve Blake', 'Steve Nash', 'Wesley Johnson', 'Xavier Henry']"
82,1610612747,2014-15,"['Carlos Boozer', 'Dwight Buycks', 'Ed Davis', 'Jabari Brown', 'Jeremy Lin', 'Jordan Clarkson', 'Jordan Hill', 'Julius Randle', 'Kobe Bryant', 'Nick Young', 'Robert Sacre', 'Ronnie Price', 'Ryan Kelly', 'Tarik Black', 'Vander Blue', 'Wayne Ellington', 'Wesley Johnson', 'Xavier Henry']"
83,1610612747,2015-16,"['Anthony Brown', 'Brandon Bass', ""D'Angelo Russell"", 'Jordan Clarkson', 'Julius Randle', 'Kobe Bryant', 'Larry Nance Jr.', 'Lou Williams', 'Marcelo Huertas', 'Metta World Peace', 'Nick Young', 'Robert Sacre', 'Roy Hibbert', 'Ryan Kelly', 'Tarik Black']"
84,1610612747,2016-17,"['Brandon Ingram', 'Corey Brewer', ""D'Angelo Russell"", 'David Nwaba', 'Ivica Zubac', 'Jordan Clarkson', 'Jose Calderon', 'Julius Randle', 'Larry Nance Jr.', 'Lou Williams', 'Luol Deng', 'Marcelo Huertas', 'Metta World Peace', 'Nick Young', 'Tarik Black', 'Thomas Robinson', 'Timofey Mozgov', 'Tyler Ennis']"
85,1610612747,2017-18,"['Alex Caruso', 'Andre Ingram', 'Andrew Bogut', 'Brandon Ingram', 'Brook Lopez', 'Channing Frye', 'Corey Brewer', 'Derrick Williams', 'Gary Payton II', 'Isaiah Thomas', 'Ivica Zubac', 'Jordan Clarkson', 'Josh Hart', 'Julius Randle', 'Kentavious Caldwell-Pope', 'Kyle Kuzma', 'Larry Nance Jr.', 'Lonzo Ball', 'Luol Deng', 'Nigel Hayes', 'Thomas Bryant', 'Travis Wear', 'Tyler Ennis', 'Vander Blue']"
86,1610612747,2018-19,"['Alex Caruso', 'Andre Ingram', 'Brandon Ingram', 'Isaac Bonga', 'Ivica Zubac', 'JaVale McGee', 'Jemerrio Jones', 'Johnathan Williams', 'Josh Hart', 'Kentavious Caldwell-Pope', 'Kyle Kuzma', 'Lance Stephenson', 'LeBron James', 'Lonzo Ball', 'Michael Beasley', 'Mike Muscala', 'Moritz Wagner', 'Rajon Rondo', 'Reggie Bullock', 'Scott Machado', 'Svi Mykhailiuk', 'Tyson Chandler']"
87,1610612747,2019-20,"['Alex Caruso', 'Anthony Davis', 'Avery Bradley', 'Danny Green', 'Dwight Howard', 'JaVale McGee', 'Jared Dudley', 'Kentavious Caldwell-Pope', 'Kostas Antetokounmpo', 'Kyle Kuzma', 'LeBron James', 'Markieff Morris', 'Quinn Cook', 'Rajon Rondo', 'Talen Horton-Tucker', 'Troy Daniels', 'Zach Norvell Jr.']"
88,1610612748,2012-13,"['Chris Andersen', 'Chris Bosh', 'Dexter Pittman', 'Dwyane Wade', 'James Jones', 'Jarvis Varnado', 'Joel Anthony', 'Josh Harrellson', 'Juwan Howard', 'LeBron James', 'Mario Chalmers', 'Mike Miller', 'Norris Cole', 'Rashard Lewis', 'Ray Allen', 'Shane Battier', 'Terrel Harris', 'Udonis Haslem']"
89,1610612748,2013-14,"['Chris Andersen', 'Chris Bosh', 'DeAndre Liggins', 'Dwyane Wade', 'Greg Oden', 'James Jones', 'Joel Anthony', 'Justin Hamilton', 'LeBron James', 'Mario Chalmers', 'Michael Beasley', 'Norris Cole', 'Rashard Lewis', 'Ray Allen', 'Roger Mason Jr.', 'Shane Battier', 'Toney Douglas', 'Udonis Haslem']"
90,1610612748,2014-15,"['Andre Dawkins', 'Chris Andersen', 'Chris Bosh', 'Danny Granger', 'Dwyane Wade', 'Goran Dragic', 'Hassan Whiteside', 'Henry Walker', 'James Ennis III', 'Josh McRoberts', 'Justin Hamilton', 'Luol Deng', 'Mario Chalmers', 'Michael Beasley', 'Norris Cole', 'Shabazz Napier', 'Shannon Brown', 'Shawne Williams', 'Tyler Johnson', 'Udonis Haslem', 'Zoran Dragic']"
91,1610612748,2015-16,"[""Amar'e Stoudemire"", 'Beno Udrih', 'Briante Weber', 'Chris Andersen', 'Chris Bosh', 'Dwyane Wade', 'Gerald Green', 'Goran Dragic', 'Hassan Whiteside', 'James Ennis III', 'Jarnell Stokes', 'Joe Johnson', 'Josh McRoberts', 'Josh Richardson', 'Justise Winslow', 'Luol Deng', 'Mario Chalmers', 'Tyler Johnson', 'Udonis Haslem']"
92,1610612748,2016-17,"['Derrick Williams', 'Dion Waiters', 'Goran Dragic', 'Hassan Whiteside', 'James Johnson', 'Josh McRoberts', 'Josh Richardson', 'Justise Winslow', 'Luke Babbitt', 'Okaro White', 'Rodney McGruder', 'Tyler Johnson', 'Udonis Haslem', 'Wayne Ellington', 'Willie Reed']"
93,1610612748,2017-18,"['Bam Adebayo', 'Derrick Jones Jr.', 'Derrick Walton Jr.', 'Dion Waiters', 'Dwyane Wade', 'Goran Dragic', 'Hassan Whiteside', 'James Johnson', 'Jordan Mickey', 'Josh Richardson', 'Justise Winslow', 'Kelly Olynyk', 'Luke Babbitt', 'Matt Williams Jr.', 'Okaro White', 'Rodney McGruder', 'Tyler Johnson', 'Udonis Haslem', 'Wayne Ellington']"
94,1610612748,2018-19,"['Bam Adebayo', 'Derrick Jones Jr.', 'Dion Waiters', 'Duncan Robinson', 'Dwyane Wade', 'Emanuel Terry', 'Goran Dragic', 'Hassan Whiteside', 'James Johnson', 'Josh Richardson', 'Justise Winslow', 'Kelly Olynyk', 'Rodney McGruder', 'Ryan Anderson', 'Tyler Johnson', 'Udonis Haslem', 'Wayne Ellington', 'Yante Maten']"
95,1610612748,2019-20,"['Andre Iguodala', 'Bam Adebayo', 'Chris Silva', 'Daryl Macon', 'Derrick Jones Jr.', 'Dion Waiters', 'Duncan Robinson', 'Gabe Vincent', 'Goran Dragic', 'Jae Crowder', 'James Johnson', 'Jimmy Butler', 'Justise Winslow', 'KZ Okpala', 'Kelly Olynyk', 'Kendrick Nunn', 'Meyers Leonard', 'Solomon Hill', 'Tyler Herro', 'Udonis Haslem']"
96,1610612749,2012-13,"['Beno Udrih', 'Brandon Jennings', 'Doron Lamb', 'Drew Gooden', 'Ekpe Udoh', 'Ersan Ilyasova', 'Gustavo Ayon', 'Ish Smith', 'JJ Redick', 'Joel Przybilla', 'John Henson', 'Larry Sanders', 'Luc Mbah a Moute', 'Marquis Daniels', 'Mike Dunleavy', 'Monta Ellis', 'Samuel Dalembert', 'Tobias Harris']"
97,1610612749,2013-14,"['Brandon Knight', 'Caron Butler', 'Chris Wright', 'DJ Stephens', 'Ekpe Udoh', 'Ersan Ilyasova', 'Gary Neal', 'Giannis Antetokounmpo', 'Jeff Adrien', 'John Henson', 'Khris Middleton', 'Larry Sanders', 'Luke Ridnour', 'Miroslav Raduljica', 'Nate Wolters', 'O.J. Mayo', 'Ramon Sessions', 'Tony Mitchell', 'Zaza Pachulia']"
98,1610612749,2014-15,"['Brandon Knight', 'Chris Johnson', 'Ersan Ilyasova', 'Giannis Antetokounmpo', 'Jabari Parker', 'Jared Dudley', 'Jerryd Bayless', 'John Henson', ""Johnny O'Bryant III"", 'Jorge Gutierrez', 'Kendall Marshall', 'Kenyon Martin', 'Khris Middleton', 'Larry Sanders', 'Michael Carter-Williams', 'Miles Plumlee', 'Nate Wolters', 'O.J. Mayo', 'Tyler Ennis', 'Zaza Pachulia']"
99,1610612749,2015-16,"['Chris Copeland', 'Damien Inglis', 'Giannis Antetokounmpo', 'Greg Monroe', 'Greivis Vasquez', 'Jabari Parker', 'Jared Cunningham', 'Jerryd Bayless', 'John Henson', ""Johnny O'Bryant III"", 'Khris Middleton', 'Michael Carter-Williams', 'Miles Plumlee', 'O.J. Mayo', 'Rashad Vaughn', 'Steve Novak', 'Tyler Ennis']"
100,1610612749,2016-17,"['Axel Toupane', 'Gary Payton II', 'Giannis Antetokounmpo', 'Greg Monroe', 'Jabari Parker', 'Jason Terry', 'John Henson', 'Khris Middleton', 'Malcolm Brogdon', 'Matthew Dellavedova', 'Michael Beasley', 'Miles Plumlee', 'Mirza Teletovic', 'Rashad Vaughn', 'Spencer Hawes', 'Steve Novak', 'Terrence Jones', 'Thon Maker', 'Tony Snell']"
101,1610612749,2017-18,"['Brandon Jennings', 'D.J. Wilson', 'DeAndre Liggins', 'Eric Bledsoe', 'Gary Payton II', 'Giannis Antetokounmpo', 'Greg Monroe', 'Jabari Parker', 'Jason Terry', 'Joel Bolomboy', 'John Henson', 'Khris Middleton', 'Malcolm Brogdon', 'Marshall Plumlee', 'Matthew Dellavedova', 'Mirza Teletovic', 'Rashad Vaughn', 'Sean Kilpatrick', 'Shabazz Muhammad', 'Sterling Brown', 'Thon Maker', 'Tony Snell', 'Tyler Zeller', 'Xavier Munford']"
102,1610612749,2018-19,"['Bonzie Colson', 'Brook Lopez', 'Christian Wood', 'D.J. Wilson', 'Donte DiVincenzo', 'Eric Bledsoe', 'Ersan Ilyasova', 'George Hill', 'Giannis Antetokounmpo', 'Isaiah Canaan', 'Jason Smith', 'Jaylen Morris', 'John Henson', 'Khris Middleton', 'Malcolm Brogdon', 'Matthew Dellavedova', 'Nikola Mirotic', 'Pat Connaughton', 'Pau Gasol', 'Sterling Brown', 'Thon Maker', 'Tim Frazier', 'Tony Snell', 'Trevon Duval']"
103,1610612749,2019-20,"['Brook Lopez', 'D.J. Wilson', 'Donte DiVincenzo', 'Dragan Bender', 'Eric Bledsoe', 'Ersan Ilyasova', 'Frank Mason', 'George Hill', 'Giannis Antetokounmpo', 'Khris Middleton', 'Kyle Korver', 'Marvin Williams', 'Pat Connaughton', 'Robin Lopez', 'Sterling Brown', 'Thanasis Antetokounmpo', 'Wesley Matthews']"
104,1610612750,2012-13,"['Alexey Shved', 'Andrei Kirilenko', 'Brandon Roy', 'Chase Budinger', 'Chris Johnson', 'Dante Cunningham', 'Derrick Williams', 'Greg Stiemsma', 'J.J. Barea', 'Josh Howard', 'Kevin Love', 'Lazar Hayward', 'Lou Amundson', 'Luke Ridnour', 'Malcolm Lee', 'Mickael Gelabale', 'Nikola Pekovic', 'Ricky Rubio', 'Will Conroy']"
105,1610612750,2013-14,"['AJ Price', 'Alexey Shved', 'Chase Budinger', 'Corey Brewer', 'Dante Cunningham', 'Derrick Williams', 'Gorgui Dieng', 'J.J. Barea', 'Kevin Love', 'Kevin Martin', 'Luc Mbah a Moute', 'Nikola Pekovic', 'Othyus Jeffers', 'Ricky Rubio', 'Robbie Hummel', 'Ronny Turiaf', 'Shabazz Muhammad']"
106,1610612750,2014-15,"['Adreian Payne', 'Andrew Wiggins', 'Anthony Bennett', 'Arinze Onuaku', 'Chase Budinger', 'Corey Brewer', 'Gary Neal', 'Glenn Robinson III', 'Gorgui Dieng', 'Jeff Adrien', 'Justin Hamilton', 'Kevin Garnett', 'Kevin Martin', 'Lorenzo Brown', 'Miroslav Raduljica', 'Mo Williams', 'Nikola Pekovic', 'Ricky Rubio', 'Robbie Hummel', 'Ronny Turiaf', 'Sean Kilpatrick', 'Shabazz Muhammad', 'Thaddeus Young', 'Troy Daniels', 'Zach LaVine']"
107,1610612750,2015-16,"['Adreian Payne', 'Andre Miller', 'Andrew Wiggins', 'Damjan Rudez', 'Gorgui Dieng', 'Greg Smith', 'Karl-Anthony Towns', 'Kevin Garnett', 'Kevin Martin', 'Nemanja Bjelica', 'Nikola Pekovic', 'Ricky Rubio', 'Shabazz Muhammad', 'Tayshaun Prince', 'Tyus Jones', 'Zach LaVine']"
108,1610612750,2016-17,"['Adreian Payne', 'Andrew Wiggins', 'Brandon Rush', 'Cole Aldrich', 'Gorgui Dieng', 'John Lucas III', 'Jordan Hill', 'Karl-Anthony Towns', 'Kris Dunn', 'Lance Stephenson', 'Nemanja Bjelica', 'Omri Casspi', 'Ricky Rubio', 'Shabazz Muhammad', 'Tyus Jones', 'Zach LaVine']"
109,1610612750,2017-18,"['Aaron Brooks', 'Andrew Wiggins', 'Anthony Brown', 'Cole Aldrich', 'Derrick Rose', 'Gorgui Dieng', 'Jamal Crawford', 'Jeff Teague', 'Jimmy Butler', 'Justin Patton', 'Karl-Anthony Towns', 'Marcus Georges-Hunt', 'Nemanja Bjelica', 'Shabazz Muhammad', 'Taj Gibson', 'Tyus Jones']"
110,1610612750,2018-19,"['Andrew Wiggins', 'Anthony Tolliver', 'C.J. Williams', 'Cameron Reynolds', 'Dario Saric', 'Derrick Rose', 'Gorgui Dieng', 'Isaiah Canaan', 'James Nunnally', 'Jared Terrell', 'Jeff Teague', 'Jerryd Bayless', 'Jimmy Butler', 'Josh Okogie', 'Karl-Anthony Towns', 'Keita Bates-Diop', 'Luol Deng', 'Mitchell Creek', 'Robert Covington', 'Taj Gibson', 'Tyus Jones']"
111,1610612750,2019-20,"['Allen Crabbe', 'Andrew Wiggins', ""D'Angelo Russell"", 'Gorgui Dieng', 'Jacob Evans', 'Jake Layman', 'James Johnson', 'Jarred Vanderbilt', 'Jarrett Culver', 'Jaylen Nowell', 'Jeff Teague', 'Jordan Bell', 'Jordan McLaughlin', 'Josh Okogie', 'Juancho Hernangomez', 'Karl-Anthony Towns', 'Keita Bates-Diop', 'Kelan Martin', 'Malik Beasley', 'Naz Reid', 'Noah Vonleh', 'Robert Covington', 'Shabazz Napier', 'Treveon Graham']"
112,1610612751,2012-13,"['Andray Blatche', 'Brook Lopez', 'C.J. Watson', 'Damion James', 'Deron Williams', 'Gerald Wallace', 'Jerry Stackhouse', 'Joe Johnson', 'Josh Childress', 'Keith Bogans', 'Kris Humphries', 'Kris Joseph', 'MarShon Brooks', 'Mirza Teletovic', 'Reggie Evans', 'Tornike Shengelia', 'Tyshawn Taylor']"
113,1610612751,2013-14,"['Alan Anderson', 'Andray Blatche', 'Andrei Kirilenko', 'Brook Lopez', 'Deron Williams', 'Jason Collins', 'Jason Terry', 'Joe Johnson', 'Jorge Gutierrez', 'Kevin Garnett', 'Marcus Thornton', 'Marquis Teague', 'Mason Plumlee', 'Mirza Teletovic', 'Paul Pierce', 'Reggie Evans', 'Shaun Livingston', 'Tornike Shengelia', 'Tyshawn Taylor']"
114,1610612751,2014-15,"['Alan Anderson', 'Andrei Kirilenko', 'Bojan Bogdanovic', 'Brandon Davies', 'Brook Lopez', 'Cory Jefferson', 'Darius Morris', 'Deron Williams', 'Earl Clark', 'Jarrett Jack', 'Jerome Jordan', 'Joe Johnson', 'Jorge Gutierrez', 'Kevin Garnett', 'Markel Brown', 'Mason Plumlee', 'Mirza Teletovic', 'Sergey Karasev', 'Thaddeus Young']"
115,1610612751,2015-16,"['Andrea Bargnani', 'Bojan Bogdanovic', 'Brook Lopez', 'Chris McCullough', 'Donald Sloan', 'Henry Sims', 'Jarrett Jack', 'Joe Johnson', 'Markel Brown', 'Rondae Hollis-Jefferson', 'Sean Kilpatrick', 'Sergey Karasev', 'Shane Larkin', 'Thaddeus Young', 'Thomas Robinson', 'Wayne Ellington', 'Willie Reed']"
116,1610612751,2016-17,"['Andrew Nicholson', 'Anthony Bennett', 'Archie Goodwin', 'Bojan Bogdanovic', 'Brook Lopez', 'Caris LeVert', 'Chris McCullough', 'Greivis Vasquez', 'Isaiah Whitehead', 'Jeremy Lin', 'Joe Harris', 'Justin Hamilton', 'KJ McDaniels', 'Luis Scola', 'Quincy Acy', 'Randy Foye', 'Rondae Hollis-Jefferson', 'Sean Kilpatrick', 'Spencer Dinwiddie', 'Trevor Booker', 'Yogi Ferrell']"
117,1610612751,2017-18,"['Allen Crabbe', 'Caris LeVert', ""D'Angelo Russell"", 'Dante Cunningham', 'DeMarre Carroll', 'Isaiah Whitehead', 'Jacob Wiley', 'Jahlil Okafor', 'James Webb III', 'Jarrett Allen', 'Jeremy Lin', 'Joe Harris', 'Milton Doyle', 'Nik Stauskas', 'Quincy Acy', 'Rashad Vaughn', 'Rondae Hollis-Jefferson', 'Sean Kilpatrick', 'Spencer Dinwiddie', 'Timofey Mozgov', 'Trevor Booker', 'Tyler Zeller']"
118,1610612751,2018-19,"['Alan Williams', 'Allen Crabbe', 'Caris LeVert', ""D'Angelo Russell"", 'DeMarre Carroll', 'Dzanan Musa', 'Ed Davis', 'Jared Dudley', 'Jarrett Allen', 'Joe Harris', 'Kenneth Faried', 'Mitchell Creek', 'Rodions Kurucs', 'Rondae Hollis-Jefferson', 'Shabazz Napier', 'Spencer Dinwiddie', 'Tahjere McCall', 'Theo Pinson', 'Treveon Graham']"
119,1610612751,2019-20,"['Caris LeVert', 'Chris Chiozza', 'David Nwaba', 'DeAndre Jordan', 'Dzanan Musa', 'Garrett Temple', 'Henry Ellenson', 'Iman Shumpert', 'Jarrett Allen', 'Jeremiah Martin', 'Joe Harris', 'Justin Anderson', 'Kyrie Irving', 'Nicolas Claxton', 'Rodions Kurucs', 'Spencer Dinwiddie', 'Taurean Prince', 'Theo Pinson', 'Timothe Luwawu-Cabarrot', 'Wilson Chandler']"
120,1610612752,2012-13,"[""Amar'e Stoudemire"", 'Carmelo Anthony', 'Chris Copeland', 'Earl Barron', 'Iman Shumpert', 'JR Smith', 'James White', 'Jason Kidd', 'Kenyon Martin', 'Kurt Thomas', 'Marcus Camby', 'Pablo Prigioni', 'Quentin Richardson', 'Rasheed Wallace', 'Raymond Felton', 'Ronnie Brewer', 'Solomon Jones', 'Steve Novak', 'Tyson Chandler']"
121,1610612752,2013-14,"[""Amar'e Stoudemire"", 'Andrea Bargnani', 'Beno Udrih', 'Carmelo Anthony', 'Chris Smith', 'Cole Aldrich', 'Earl Clark', 'Iman Shumpert', 'JR Smith', 'Jeremy Tyler', 'Kenyon Martin', 'Metta World Peace', 'Pablo Prigioni', 'Raymond Felton', 'Shannon Brown', 'Tim Hardaway Jr.', ""Toure' Murry"", 'Tyson Chandler']"
122,1610612752,2014-15,"['Alexey Shved', ""Amar'e Stoudemire"", 'Andrea Bargnani', 'Carmelo Anthony', 'Cleanthony Early', 'Cole Aldrich', 'Iman Shumpert', 'JR Smith', 'Jason Smith', 'Jose Calderon', 'Lance Thomas', 'Langston Galloway', 'Lou Amundson', 'Pablo Prigioni', 'Quincy Acy', 'Ricky Ledo', 'Samuel Dalembert', 'Shane Larkin', 'Tim Hardaway Jr.', 'Travis Wear']"
123,1610612752,2015-16,"['Arron Afflalo', 'Carmelo Anthony', 'Cleanthony Early', 'Derrick Williams', 'Jerian Grant', 'Jimmer Fredette', 'Jose Calderon', 'Kevin Seraphin', 'Kristaps Porzingis', ""Kyle O'Quinn"", 'Lance Thomas', 'Langston Galloway', 'Lou Amundson', 'Robin Lopez', 'Sasha Vujacic', 'Thanasis Antetokounmpo']"
124,1610612752,2016-17,"['Brandon Jennings', 'Carmelo Anthony', 'Chasson Randle', 'Courtney Lee', 'Derrick Rose', 'Joakim Noah', 'Justin Holiday', 'Kristaps Porzingis', ""Kyle O'Quinn"", 'Lance Thomas', 'Marshall Plumlee', 'Maurice Ndour', 'Mindaugas Kuzminskas', 'Ron Baker', 'Sasha Vujacic', 'Willy Hernangomez']"
125,1610612752,2017-18,"['Courtney Lee', 'Damyean Dotson', 'Doug McDermott', 'Emmanuel Mudiay', 'Enes Kanter', 'Frank Ntilikina', 'Isaiah Hicks', 'Jarrett Jack', 'Joakim Noah', 'Kristaps Porzingis', ""Kyle O'Quinn"", 'Lance Thomas', 'Luke Kornet', 'Michael Beasley', 'Mindaugas Kuzminskas', 'Ramon Sessions', 'Ron Baker', 'Tim Hardaway Jr.', 'Trey Burke', 'Troy Williams', 'Willy Hernangomez']"
126,1610612752,2018-19,"['Allonzo Trier', 'Billy Garrett', 'Courtney Lee', 'Damyean Dotson', 'DeAndre Jordan', 'Dennis Smith Jr.', 'Emmanuel Mudiay', 'Enes Kanter', 'Frank Ntilikina', 'Henry Ellenson', 'Isaiah Hicks', 'John Jenkins', 'Kadeem Allen', 'Kevin Knox II', 'Lance Thomas', 'Luke Kornet', 'Mario Hezonja', 'Mitchell Robinson', 'Noah Vonleh', 'Ron Baker', 'Tim Hardaway Jr.', 'Trey Burke', 'Wesley Matthews']"
