,0
STL_2012-13,0.5078410500053412
PLAYER_W_PCT_2012-13,0.5212832503816925
OBPM_2012-13,0.5396879228693501
TS%_2012-13,0.5455458230598798
DBPM_2012-13,0.5594175233295564
OWS_2012-13,0.5988537981070686
WS/48_2012-13,0.6079872171816656
PLUS_MINUS_2012-13,0.6109416399769905
WS_2012-13,0.6618131482963799
BPM_2012-13,0.7173565468252512
VORP_2012-13,0.7209357037673116
W_PCT,1.0
DWS_2013-14,0.5080850001370305
FG_PCT_2013-14,0.5107475306605999
DBPM_2013-14,0.5127600738627295
DREB_2013-14,0.5232801995755588
AST%_2013-14,0.5237455182480946
OWS_2013-14,0.5331319879341231
AST_2013-14,0.5527495405246846
PLAYER_W_PCT_2013-14,0.5646920877239543
OBPM_2013-14,0.5677542039160179
PER_2013-14,0.5758974252019504
NBA_FANTASY_PTS_2013-14,0.5792666867486633
PLUS_MINUS_2013-14,0.5905875151650901
WS/48_2013-14,0.613965494363736
TS%_2013-14,0.6285938182722248
WS_2013-14,0.6331809490427566
VORP_2013-14,0.6660372668313038
BPM_2013-14,0.7012617469294915
W_PCT,1.0
DREB_2014-15,0.5089368022518557
FG3A_2014-15,0.5153127153877661
FGA_2014-15,0.5170392311727643
AST_2014-15,0.5191920785000227
FG_PCT_2014-15,0.532956666771192
PTS_2014-15,0.5599621510175485
FG3M_2014-15,0.5643024849642327
DWS_2014-15,0.5674054024229045
NBA_FANTASY_PTS_2014-15,0.5748849125357479
FGM_2014-15,0.5782554377812922
TS%_2014-15,0.6571890944799595
PER_2014-15,0.6617458162439173
OWS_2014-15,0.6792844783070495
OBPM_2014-15,0.69733123139537
VORP_2014-15,0.7003182794955901
WS_2014-15,0.7126093642016766
BPM_2014-15,0.7488116426969378
PLAYER_W_PCT_2014-15,0.7643383680906918
PLUS_MINUS_2014-15,0.769032345284146
WS/48_2014-15,0.7828053077341958
W_PCT,1.0
FTA_2015-16,0.5148159472122112
REB_2015-16,0.5170816783807692
FG3A_2015-16,0.5207285014265175
FTM_2015-16,0.550522194463443
FG3M_2015-16,0.5619347980007132
FG_PCT_2015-16,0.5689082957078363
AST%_2015-16,0.5753502782419263
PFD_2015-16,0.5842019570738135
STL_2015-16,0.5904122388079114
DREB_2015-16,0.5918351723048891
FGA_2015-16,0.5984783683164893
TS%_2015-16,0.6140092232451599
FGM_2015-16,0.6730983793649051
PTS_2015-16,0.6825809616914514
DBPM_2015-16,0.7272099002700223
AST_2015-16,0.7316392674210076
NBA_FANTASY_PTS_2015-16,0.7461325582566507
DWS_2015-16,0.7556121953214312
PLAYER_W_PCT_2015-16,0.7749687099724624
OWS_2015-16,0.7983507932055048
PLUS_MINUS_2015-16,0.8069931224337229
PER_2015-16,0.8151432440673034
OBPM_2015-16,0.8328654553534467
WS/48_2015-16,0.868455049947946
WS_2015-16,0.8734671679875227
BPM_2015-16,0.887112140718208
VORP_2015-16,0.8922417657454614
W_PCT,1.0
AST_2016-17,0.5253491871433608
FGM_2016-17,0.5304743320639488
PTS_2016-17,0.568337211040375
FG3A_2016-17,0.5691533716562077
TS%_2016-17,0.5896842335130865
NBA_FANTASY_PTS_2016-17,0.6003482100539014
FG3M_2016-17,0.6131381054525603
STL_2016-17,0.6134749811454886
PER_2016-17,0.6453953768826604
PLAYER_W_PCT_2016-17,0.6622499357944873
PLUS_MINUS_2016-17,0.6624119538002733
OBPM_2016-17,0.6673822827182265
WS/48_2016-17,0.6681942325603617
VORP_2016-17,0.6782498752526447
OWS_2016-17,0.6795444788884422
BPM_2016-17,0.6831003073949254
WS_2016-17,0.7074385478170837
W_PCT,1.0
NBA_FANTASY_PTS_2017-18,0.5025746634153626
FTA_2017-18,0.5108886654662683
USG%_2017-18,0.5214337851492407
PFD_2017-18,0.5365922329306825
BLK_2017-18,0.549244817307684
FTM_2017-18,0.5563115358792029
DWS_2017-18,0.5619289098773755
AST_2017-18,0.5741486079052249
DBPM_2017-18,0.5970165893032179
OWS_2017-18,0.6176401349811114
PLAYER_W_PCT_2017-18,0.6514217262496211
WS_2017-18,0.66236651804725
OBPM_2017-18,0.6810410209840815
PLUS_MINUS_2017-18,0.6827621454355374
PER_2017-18,0.7055147065729018
VORP_2017-18,0.7088990807921067
WS/48_2017-18,0.7349519774702101
BPM_2017-18,0.7488125267016998
W_PCT,1.0
BLK_2018-19,0.5128962046833546
VORP_2018-19,0.5855781001690654
WS_2018-19,0.6216563322922691
PLAYER_W_PCT_2018-19,0.6401979534023783
TS%_2018-19,0.6602071043734219
PLUS_MINUS_2018-19,0.6658385351993796
DWS_2018-19,0.700075853223238
BPM_2018-19,0.7154017675294299
DBPM_2018-19,0.7299855877783727
WS/48_2018-19,0.7706722320416646
W_PCT,1.0
